Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201501CW11049,527910,181390,-0.157946,51.516959,1,3,2,1,2015-07-19,1,July,12:40:00,12,1,E09000033,5,0,6,30,6,2,3,41,0,5,1,1,1,0,0,1,1,E01004657
201501CW11050,527080,182810,-0.16939,51.529907,1,3,2,1,2015-07-19,1,July,19:12:00,19,1,E09000033,3,5205,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004725
201501CW11051,527040,182320,-0.170143,51.525513,1,2,2,1,2015-07-19,1,July,18:40:00,18,1,E09000033,4,507,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033598
201501CW11052,530220,179110,-0.125514,51.495942,1,3,1,1,2015-07-09,5,July,10:50:00,10,1,E09000033,3,3212,6,30,3,4,6,0,0,1,1,1,1,0,0,1,2,E01004733
201501CW11053,528070,183650,-0.15482,51.537233,1,3,2,2,2015-07-09,5,July,20:20:00,20,2,E09000007,3,5205,6,30,3,2,5,0,0,5,4,1,1,0,0,1,2,E01004730
201501CW11054,527780,179160,-0.160626,51.496948,1,3,2,1,2015-07-09,5,July,18:45:00,18,12,E09000020,4,319,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002863
201501CW11055,528730,179300,-0.146897,51.497991,1,3,2,1,2015-07-10,6,July,08:05:00,8,1,E09000033,3,302,6,30,6,2,3,3217,0,5,1,1,1,0,0,1,1,E01004731
201501CW11056,527660,181890,-0.161366,51.521509,1,3,2,1,2015-07-20,2,July,09:20:00,9,1,E09000033,3,501,3,30,7,2,6,0,0,5,1,1,1,0,0,1,1,E01004662
201501CW11058,529500,179980,-0.135561,51.503926,1,3,2,1,2015-07-20,2,July,18:55:00,18,1,E09000033,5,0,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01004736
201501CW11059,525620,181690,-0.190825,51.520168,1,3,2,1,2015-07-20,2,July,20:25:00,20,1,E09000033,3,404,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01032512
201501CW11061,526240,181260,-0.182048,51.516166,1,2,2,1,2015-07-21,3,July,01:14:00,1,1,E09000033,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01004696
