Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Month_name,Time,Hour,Weather_Conditions,Road_Surface_Conditions,Speed_limit
201501KG70618,0.14574,51.547498,3,2,1,2015-12-20,1,December,17:30:00,17,2,2,30
201501KG70619,0.156146,51.550994,3,2,1,2015-11-13,6,November,16:15:00,16,1,1,30
201501KG70620,0.098827,51.540433,3,1,1,2015-12-11,6,December,20:05:00,20,1,1,30
201501KG70621,0.087309,51.534523,3,2,1,2015-12-03,5,December,18:30:00,18,1,1,30
201501KG70623,0.148153,51.537471,3,2,2,2015-12-12,7,December,16:40:00,16,1,1,30
201501KG70624,0.163569,51.552386,3,1,1,2015-12-23,4,December,18:25:00,18,1,2,30
201501KG70628,0.127273,51.531917,3,2,1,2015-12-21,2,December,06:30:00,6,1,1,30
201501KG70629,0.068788,51.53629,3,2,1,2015-12-28,2,December,18:30:00,18,1,1,30
201501KG70630,0.141854,51.590644,3,2,1,2015-12-29,3,December,17:56:00,17,1,1,30
201501KG70632,0.154175,51.548962,2,2,1,2015-12-19,7,December,15:25:00,15,1,1,30
201501KG70633,0.113053,51.551778,3,2,1,2015-12-29,3,December,16:15:00,16,1,1,30
201501KG70635,0.148012,51.540621,3,1,1,2015-12-07,2,December,11:26:00,11,1,1,30
201501KG70637,0.098546,51.531175,3,4,4,2015-12-28,2,December,04:40:00,4,1,1,50
201501KG70638,0.121055,51.547047,3,2,1,2015-12-29,3,December,19:15:00,19,1,1,20
201501KG70640,0.127211,51.536774,3,1,1,2015-12-16,4,December,07:45:00,7,1,2,30
201501KG70641,0.129464,51.566499,3,2,2,2015-12-18,6,December,20:10:00,20,1,1,30
201501KG70642,0.09523,51.543734,3,2,1,2015-12-30,4,December,03:55:00,3,1,2,30
201501KG70646,0.144465,51.572521,3,1,1,2015-11-11,4,November,20:15:00,20,1,1,30
201501KG70651,0.138561,51.529733,3,2,1,2015-12-30,4,December,21:00:00,21,2,2,30
201501KG70652,0.146202,51.548119,3,1,1,2015-11-07,7,November,17:50:00,17,1,2,30
201501KG79007,0.121523,51.544701,3,1,1,2015-11-05,5,November,15:56:00,15,2,2,30
201501KG79009,0.11391,51.551583,3,2,1,2015-12-25,6,December,13:01:00,13,2,2,30
201501KG79032,0.155489,51.552355,3,1,1,2015-11-20,6,November,14:23:00,14,1,1,30
201501KG79036,0.123409,51.551141,3,1,1,2015-12-15,3,December,17:33:00,17,2,2,30
201501KG79049,0.112222,51.536955,3,2,1,2015-09-09,4,September,13:50:00,13,1,1,30
201501LX50001,-0.11833,51.460486,2,2,1,2015-01-02,6,January,22:00:00,22,1,1,30
201501LX50002,-0.124943,51.443147,3,2,1,2015-01-04,1,January,06:07:00,6,1,1,30
201501LX50005,-0.116454,51.502541,3,2,1,2015-01-12,2,January,17:30:00,17,2,2,30
201501LX50006,-0.124556,51.442061,3,1,1,2015-01-12,2,January,21:36:00,21,5,2,30
201501LX50007,-0.143355,51.461065,3,1,1,2015-01-07,4,January,06:15:00,6,1,1,30
201501LX50009,-0.121237,51.459813,3,2,1,2015-01-11,1,January,14:25:00,14,1,2,30
201501LX50010,-0.119111,51.480013,3,1,1,2015-01-13,3,January,18:25:00,18,2,2,30
201501LX50011,-0.119292,51.475609,3,1,1,2015-01-14,4,January,07:56:00,7,1,1,30
201501LX50012,-0.113085,51.441068,2,1,1,2015-01-10,7,January,23:51:00,23,1,1,30
201501LX50014,-0.12769,51.446338,3,2,1,2015-01-13,3,January,21:50:00,21,1,2,30
201501LX50015,-0.127959,51.467924,3,2,1,2015-01-10,7,January,23:25:00,23,1,1,30
201501LX50016,-0.113206,51.462562,3,1,1,2015-01-14,4,January,07:30:00,7,1,1,30
201501LX50018,-0.128444,51.434929,3,2,1,2015-01-06,3,January,21:12:00,21,1,1,30
201501LX50020,-0.122638,51.450214,3,2,1,2015-01-06,3,January,14:43:00,14,1,1,30
201501LX50021,-0.125824,51.484886,3,1,1,2015-01-09,6,January,11:20:00,11,1,1,30
201501LX50022,-0.113085,51.441068,3,2,1,2015-01-07,4,January,09:19:00,9,1,1,30
201501LX50023,-0.131418,51.429042,3,2,1,2015-01-07,4,January,15:16:00,15,1,2,30
201501LX50024,-0.130948,51.475796,3,2,1,2015-01-07,4,January,23:40:00,23,1,1,30
201501LX50025,-0.112802,51.472358,3,2,2,2015-01-01,5,January,02:40:00,2,1,1,30
201501LX50026,-0.118818,51.448624,3,2,1,2015-01-01,5,January,07:38:00,7,1,1,30
201501LX50027,-0.111166,51.491036,3,2,1,2015-01-01,5,January,01:07:00,1,1,1,30
201501LX50028,-0.125435,51.469772,3,2,1,2015-01-06,3,January,08:30:00,8,2,2,30
201501LX50029,-0.123088,51.449771,3,1,1,2015-01-14,4,January,23:40:00,23,5,5,30
201501LX50031,-0.122151,51.434019,3,2,1,2015-01-03,7,January,20:46:00,20,1,2,30
201501LX50034,-0.117404,51.458493,3,1,1,2015-01-17,7,January,16:40:00,16,1,1,30
